Vector Length,Workloads,Operation,Execution Time (seconds),Throughput (tasks/sec),Total Cycles
256,10000,Classical,1.0799,4630.06,3.67166e+09
256,10000,Karatsuba,0.531849,9399.29,1.80829e+09
256,10000,VPU,5.79819,672.107,1.97138e+10
256,50000,Classical,5.28271,4732.42,1.79612e+10
256,50000,Karatsuba,2.28716,10930.2,7.77634e+09
256,50000,VPU,5.71982,680.441,1.94474e+10
256,100000,Classical,10.9661,4559.42,3.72847e+10
256,100000,Karatsuba,1.34035,37300,4.55718e+09
256,100000,VPU,5.8869,660.62,2.00155e+10
512,10000,Classical,1.10951,4506.48,3.77234e+09
512,10000,Karatsuba,0.208677,23960.5,7.09502e+08
512,10000,VPU,3.31101,588.944,1.12574e+10
512,50000,Classical,5.57512,4484.21,1.89554e+10
512,50000,Karatsuba,0.943734,26486.3,3.2087e+09
512,50000,VPU,2.85132,682.491,9.69449e+09
512,100000,Classical,11.3151,4418.68,3.84715e+10
512,100000,Karatsuba,4.48903,11136.7,1.52627e+10
512,100000,VPU,2.84714,684.898,9.68027e+09
1024,10000,Classical,1.15813,4316.44,3.93765e+09
1024,10000,Karatsuba,0.381971,13090,1.2987e+09
1024,10000,VPU,1.31384,739.054,4.46706e+09
1024,50000,Classical,5.78156,4324.1,1.96573e+10
1024,50000,Karatsuba,2.84149,8796.46,9.66105e+09
1024,50000,VPU,1.30406,748.43,4.43381e+09
1024,100000,Classical,11.815,4231.74,4.0171e+10
1024,100000,Karatsuba,5.48655,9111.55,1.86543e+10
1024,100000,VPU,1.30436,747.492,4.43483e+09
2048,10000,Classical,1.1649,4292.22,3.96065e+09
2048,10000,Karatsuba,0.669718,7464.34,2.27704e+09
2048,10000,VPU,0.639801,762.737,2.17532e+09
2048,50000,Classical,5.91901,4223.51,2.01246e+10
2048,50000,Karatsuba,3.02729,8256.23,1.02928e+10
2048,50000,VPU,0.631009,771.78,2.14543e+09
2048,100000,Classical,11.9754,4175.22,4.07164e+10
2048,100000,Karatsuba,5.73058,8724.08,1.9484e+10
2048,100000,VPU,0.650025,750.74,2.21008e+09
